LocalArea,competitor_count,ticket_volume,avg_property_value,recent_permit_count,competitor_pctl,traffic_pctl,cost_pctl,momentum_pctl,opportunity_score
ARBUTUS RIDGE,128,11011.0,2983832.3602656336,393.0,22.727272727272727,13.636363636363635,77.27272727272727,31.818181818181817,38.18181818181819
DOWNTOWN,3028,792497.0,1993629.021798984,1782.0,100.0,100.0,31.818181818181817,100.0,63.63636363636364
DUNBAR SOUTHLANDS,99,33114.0,3322786.6170134638,691.0,13.636363636363635,36.36363636363637,86.36363636363636,86.36363636363636,56.81818181818181
FAIRVIEW,814,208701.0,1994140.6546785366,529.0,86.36363636363636,86.36363636363636,36.36363636363637,59.09090909090909,54.54545454545455
GRANDVIEW WOODLAND,635,82195.0,2110722.5786106237,462.0,77.27272727272727,63.63636363636363,40.909090909090914,50.0,47.72727272727273
HASTINGS SUNRISE,323,94609.0,1707083.0061641682,757.0,50.0,72.72727272727273,13.636363636363635,90.9090909090909,72.27272727272728
KENSINGTON CEDAR COTTAGE,555,51855.0,1844679.6884893226,907.0,72.72727272727273,50.0,22.727272727272727,95.45454545454545,57.727272727272734
KERRISDALE,141,24175.0,3653504.764546632,374.0,29.545454545454547,22.727272727272727,90.9090909090909,27.27272727272727,35.22727272727273
KILLARNEY,193,21717.0,1604195.7458973762,331.0,40.909090909090914,18.181818181818183,4.545454545454546,18.181818181818183,45.90909090909091
KITSILANO,894,258780.0,2401178.6791969175,622.0,90.9090909090909,90.9090909090909,54.54545454545454,77.27272727272727,54.54545454545454
MARPOLE,235,67171.0,2572161.066272825,476.0,45.45454545454545,59.09090909090909,59.09090909090909,54.54545454545454,53.18181818181818
MOUNT PLEASANT,750,126982.0,1827902.7990460682,425.0,81.81818181818183,81.81818181818183,18.181818181818183,40.909090909090914,54.54545454545455
OAKRIDGE,94,28580.0,4149923.9644209323,347.0,9.090909090909092,31.818181818181817,95.45454545454545,22.727272727272727,42.272727272727266
RENFREW COLLINGWOOD,405,63367.0,1650499.6484351356,680.0,63.63636363636363,54.54545454545454,9.090909090909092,81.81818181818183,61.81818181818182
RILEY PARK,442,82764.0,2245423.940976219,569.0,68.18181818181817,68.18181818181817,45.45454545454545,68.18181818181817,54.54545454545454
SHAUGHNESSY,44,5038.0,4685172.548949093,279.0,4.545454545454546,4.545454545454546,100.0,13.636363636363635,32.72727272727273
SOUTH CAMBIE,123,25823.0,2764085.3515361557,232.0,18.181818181818183,27.27272727272727,72.72727272727273,9.090909090909092,39.99999999999999
STRATHCONA,327,108110.0,2730369.65625,226.0,59.09090909090909,77.27272727272727,63.63636363636363,4.545454545454546,43.63636363636363
SUNSET,325,34404.0,1961596.4395660209,557.0,54.54545454545454,40.909090909090914,27.27272727272727,63.63636363636363,53.18181818181819
VICTORIA FRASERVIEW,172,5317.0,2276464.997608424,457.0,36.36363636363637,9.090909090909092,50.0,45.45454545454545,40.90909090909091
WEST END,1112,277777.0,3091788.4898815434,592.0,95.45454545454545,95.45454545454545,81.81818181818183,72.72727272727273,48.18181818181818
WEST POINT GREY,141,45756.0,2757411.8643619805,407.0,29.545454545454547,45.45454545454545,68.18181818181817,36.36363636363637,48.409090909090914
